,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading [-],Fault
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801001702484209,0.0692273738206818,-0.713446882434179,0.0,0.0,0.0,0.25608022218531534,-0.3518282840797811,0.08695513508998787,-0.8961465186053441,3910323.6158767403,-3583795.880155989,-4323715.178017633,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,184.50889206047475,47.79676296821123,-172.42629505997118,-86.70473903169992,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,3910323.7198356353,-3583795.901295167,-4323715.001253148,0.0,0.0,-1.0,160.05195365647245,8,0.0,0.0,0.0,0.0,1.840404443559626,0.3757017866565518,0.0,1.3418745558692478,,0.0
5000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2800994945414595,0.06922248132654162,-0.7134462676067912,4.700387117895228e-06,-1.5532890723529667e-06,-8.119891883241609e-07,0.2560817472195068,-0.35182786249893716,0.08694909529151208,-0.8961468343627741,3941542.915188695,-3570989.506853019,-4305940.751132586,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.4984153845754,47.79571732394908,-172.4252470504309,-86.70369318232446,0.0,0.0,0.0,0.0,19.019806162060515,19.50990264792839,20.000000085373383,20.49009741866698,-5.0,-5.0,-5.0,-5.0,-9.787593938289258e-09,-1.0494407417146023e-09,3940919.829427961,-3571246.743517932,-4306297.378844878,139.0531923475224,259895.2617083745,-1.0,160.0531923475224,8,0.0,0.0,0.0,0.0,1.840409368769476,0.3757077717354746,0.0,1.3418625314624748,,0.0
10000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28010238335996673,0.06920796513956542,-0.7134448878456293,7.495766364606405e-06,-5.532800870605907e-06,-3.6048497915690593e-06,0.25608360890160015,-0.35183201255272656,0.08693099061724148,-0.8961464294775355,3972639.8166205185,-3558072.2418731414,-4288032.232698908,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.76195336281187,184.4879406136842,47.79467410590965,-172.42419706001908,-86.7026436886552,0.0,0.0,0.0,0.0,19.03922005810722,19.519609171452963,20.000000169055397,20.48039096041779,-5.0,-5.0,-5.0,-5.0,-1.316470241855917e-08,3.301826959992775e-11,3972019.1883172155,-3558331.6924657333,-4288391.53681531,139.0580297071588,260590.53836555293,-1.0,160.0580297071588,8,0.0,0.0,0.0,0.0,1.8404178130515236,0.37570697995160235,0.0,1.3418199272370297,,0.0
15000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801136666417097,0.06918626036085573,-0.7134471963401583,7.841105713401022e-06,-8.693680051829626e-06,-8.984842104042394e-06,0.25607839350067896,-0.3518447243929035,0.08690336676638337,-0.8961456082265095,4003613.3520793794,-3545044.4841728937,-4269990.1778031,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.50720916688493,47.79884135051658,-172.41944055834608,-86.70059413129644,184.47746829283287,47.79363006923761,-172.42314448247552,-86.7015917594113,0.0,0.0,0.0,0.0,19.058249457066,19.529123454866298,20.00000025107954,20.470876740986014,-5.0,-5.0,-5.0,-5.0,-5.401384370884419e-09,2.4888812788503845e-09,4002995.2005605036,-3545306.140676128,-4270352.14718174,139.06619615255457,261285.8483304984,-1.0,160.06619615255457,8,0.0,0.0,0.0,0.0,1.840417590277665,0.3756670277631291,0.0,1.3417586672828437,,0.0
20000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28013203357054933,0.06916081008185096,-0.7134591896558589,7.207200017397106e-06,-8.465151234015116e-06,-1.5429541522583327e-05,0.25605955379023904,-0.3518625170889765,0.08687009625118118,-0.8961472314066836,4034462.5572467796,-3531906.6361389267,-4251815.145691889,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.70059413129644,184.4669969512268,47.792582643157566,-172.42209084022483,-86.70054060696665,0.0,0.0,0.0,0.0,19.076901973997252,19.538449305531557,20.000000331478663,20.461550953034084,-5.0,-5.0,-5.0,-5.0,6.678265946173207e-09,2.122818306323398e-09,4033846.90176234,-3532170.4904696275,-4252179.7691074265,139.07539478066832,261981.20292442132,-1.0,160.07539478066832,8,0.0,0.0,0.0,0.0,1.8404008507197671,0.37557674098839977,0.0,1.3417027159217565,,0.0
25000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801511120047173,0.06913323201651145,-0.7134834740151637,7.870206752440263e-06,-5.06535827519949e-06,-2.0540929193480768e-05,0.2560267957137924,-0.3518773035269408,0.08683319188703703,-0.8961543616620108,4065186.4716084884,-3518659.103576308,-4233507.699755597,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.70059413129644,184.45652431270807,47.79153204581341,-172.42103853128611,-86.69949280401293,0.0,0.0,0.0,0.0,19.095185073143213,19.547590455406166,20.00000041028494,20.452409864629725,-5.0,-5.0,-5.0,-5.0,1.3158624406391547e-08,2.4176240268995014e-10,4064573.3313292707,-3518925.147584828,-4233874.965898524,139.08319170814522,262676.6006762057,-1.0,160.08319170814522,8,0.0,0.0,0.0,0.0,1.8403705399766372,0.3754553464430765,0.0,1.3416683570680776,,0.0
30000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801647114621122,0.06910198751509108,-0.7135171214137344,1.103891033234756e-05,-1.3213918141610008e-06,-2.3018371033575675e-05,0.25598631906299923,-0.3518830446806455,0.08679115093901657,-0.8961677429128633,4095784.138484286,-3505302.2956966884,-4215068.407511249,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.70059413129644,184.44604916849258,47.790481104295765,-172.41998885629312,-86.69844816714189,0.0,0.0,0.0,0.0,19.113106070914895,19.556550562535165,20.000000487529913,20.44344981775249,-5.0,-5.0,-5.0,-5.0,8.748757943285036e-09,-1.871198840319724e-09,4095173.532501963,-3505570.521165113,-4215438.304988399,139.08901867432934,263372.0320946859,-1.0,160.08901867432934,8,0.0,0.0,0.0,0.0,1.8403379742839756,0.3753366488227296,0.0,1.3416507970105929,,0.0
35000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28017191613015435,0.06906364742728194,-0.7135540784178256,1.586051315614616e-05,-3.431032312141493e-07,-2.3728230049448994e-05,0.25594571545760714,-0.3518807176552154,0.08674019208016953,-0.8961851875361694,4126254.605057646,-3491836.62510621,-4196497.840585709,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.38449070385408,47.79884135051658,-172.41944055834608,-86.70059413129644,184.4355723713778,47.789432928456016,-172.418940948883,-86.69740390832226,0.0,0.0,0.0,0.0,19.130672138820007,19.56533321251514,20.000000563244523,20.434667226829962,-5.0,-5.0,-5.0,-5.0,-2.933115220334586e-09,-2.4490422726823197e-09,4125646.552386647,-3492107.023746775,-4196870.357921827,139.09464010537087,264067.4910383574,-1.0,160.09464010537087,8,0.0,0.0,0.0,0.0,1.8403135277245324,0.375241219018983,0.0,1.3416281088538227,,0.0
40000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2801778383611427,0.0690157130066422,-0.7135901462372501,2.012243340414983e-05,-2.9649397224480415e-06,-2.4990777254860242e-05,0.2559077219816049,-0.35187751072587303,0.08667736690310822,-0.8962033749893451,4156596.9224054627,-3478262.5077932198,-4177796.574698619,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.4458499353695,47.79884135051658,-172.41944055834608,-86.70059413129644,184.42509613394554,47.7883883527413,-172.41789248878462,-86.69635692874186,0.0,0.0,0.0,0.0,19.147890306332755,19.573941919929034,20.000000637459056,20.42605857730284,-5.0,-5.0,-5.0,-5.0,-1.2266136833657113e-08,-1.0050780060074319e-09,4155991.4419845818,-3478535.071248447,-4178171.7003379855,139.10270095572207,264762.9833263904,-1.0,160.10270095572207,8,0.0,0.0,0.0,0.0,1.8402980939885287,0.3751594753062671,0.0,1.3415792666477584,,0.0
45000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.28018941243972273,0.06895867070553373,-0.7136264352028168,2.2072512065853012e-05,-7.0598706489146814e-06,-2.8671373454879448e-05,0.25586796920254534,-0.351880908392729,0.0866029857378657,-0.8962205819474134,4186810.145527856,-3464580.3631158164,-4158965.1896453896,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184.38449070385408,47.79884135051658,-172.41944055834608,-86.70059413129644,184.4146222083551,47.78734525012106,-172.41684161063714,-86.69530636786646,0.0,0.0,0.0,0.0,19.16476746370688,19.582380129752575,20.00000071020324,20.417620424218548,-5.0,-5.0,-5.0,-5.0,-1.1566606867852253e-08,1.2646643140120237e-09,4186207.256219775,-3464855.0829604478,-4159342.911952434,139.1145506881178,265458.5255080777,-1.0,160.1145506881178,8,0.0,0.0,0.0,0.0,1.8402823481952615,0.37505957040872506,0.0,1.3415014334586675,,0.0
