,SigmaBR  1 [-],SigmaBR  2 [-],SigmaBR  3 [-],OmegaBR  1 [rad/s],OmegaBR  2 [rad/s],OmegaBR  3 [rad/s],SigmaBN  1 [-],SigmaBN  2 [-],SigmaBN  3 [-],OmegaBN_B  1 [rad/s],OmegaBN_B  2 [rad/s],OmegaBN_B  3 [rad/s],BetaBN  1 [-],BetaBN  2 [-],BetaBN  3 [-],BetaBN  4 [-],Position  1 [m],Position  2 [m],Position  3 [m],numRW,RW Torque  1 [Nm],RW Torque  2 [Nm],RW Torque  3 [Nm],RW Torque  4 [Nm],RW Torque Req  1 [Nm],RW Torque Req  2 [Nm],RW Torque Req  3 [Nm],RW Torque Req  4 [Nm],RW Omega  1 [rad/s],RW Omega  2 [rad/s],RW Omega  3 [rad/s],RW Omega  4 [rad/s],RW Omega True  1 [rad/s],RW Omega True  2 [rad/s],RW Omega True  3 [rad/s],RW Omega True  4 [rad/s],RW Volt  1 [V],RW Volt  2 [V],RW Volt  3 [V],RW Volt  4 [V],RW Temp  1 [C],RW Temp  2 [C],RW Temp  3 [C],RW Temp  4 [C],RW Power  1 [W],RW Power  2 [W],RW Power  3 [W],RW Power  4 [W],Panel Angle [rad],Panel Angle Rate [rad/s],Position  1 [m],Position  2 [m],Position  3 [m],Net Power [W],Stored Energy [Ws],Sink Power [W],Supply Power [W],numCSS,CSS Cos Values  1 [-],CSS Cos Values  2 [-],CSS Cos Values  3 [-],CSS Cos Values  4 [-],CSS Cos Values  5 [-],CSS Cos Values  6 [-],CSS Cos Values  7 [-],CSS Cos Values  8 [-],Sun Heading  1 [-],Sun Heading  2 [-],Sun Heading  3 [-],Fault
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0204350809138571,0.592432048163409,0.4762642654170614,0.0,0.0,0.0,0.26724966403020517,0.025896349422515466,0.7507593139958064,0.6035457303393635,5634778.048572491,-2549395.9375983677,-2929042.012459956,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,-56.6233763086197,-94.73721661728982,-153.99011002073144,-121.85161683033,0.0,0.0,0.0,0.0,19.0,19.5,20.0,20.5,-5.0,-5.0,-5.0,-5.0,0.0,0.0,5634778.092289713,-2549395.741045721,-2929042.056685078,0.0,0.0,-1.0,191.275597359228,8,0.0,0.0,0.0,0.3640201583483022,1.8548940585280762,0.9876498144585867,0.0,0.3759096615663191,0.0,0.0,0.0,0.0
5000000000,-0.29183010182600155,0.7135763319986521,0.23970416666081876,0.00222786683603385,-0.03809719483462895,-0.001254255518642504,0.04128412336654886,0.5637594471279234,0.45405980177088806,0.0014622493840836298,-0.038163525020931656,-0.0019507366062591284,0.31087421571271207,0.054118292839511584,0.7390177231044487,0.5952152865330824,5656291.830795404,-2530386.58060478,-2903935.022309768,4,-0.00013146743926695202,0.00010856242952656808,7.790143222573472e-05,3.1752199326383656e-05,0.0,0.0,0.0,0.0,-87.43690490948156,-55.591463752975635,-141.80118403214868,-109.95574287564276,-87.38919258729744,-55.61013726635614,-141.74950750455892,-109.94846601089449,0.0,0.0,0.0,0.0,19.020262029027393,19.51050512344806,20.00037663912037,20.49037947019799,-5.011488833369058,-4.996981414196029,-4.994478755174051,-4.998254447195796,5.814536275446482e-05,-0.0002282730273309498,5655863.340900511,-2530767.3490215326,-2904438.0918920524,180.1235848300181,260068.98999400434,-1.0,201.12465578712738,8,0.0,0.0,0.0,0.5353768488866859,1.7935995617400893,0.8685175079088199,0.0,0.0,0.0,0.0,0.0,0.0
10000000000,-0.24135403841857592,0.6413533865735632,0.2560087276547828,-0.006188632788478839,-0.047689906604187426,0.006407072884738225,0.08731023891109733,0.5004592380221529,0.42628288822855587,-0.0071523729423333265,-0.047254103680283044,0.005885310956656594,0.389082176261873,0.12128109667657115,0.6951790074821709,0.5921419620837192,5677629.699447796,-2511298.5269197547,-2878737.46631299,4,-0.00014279761894766507,3.797983882304875e-05,0.000131708208984678,1.5525196340981103e-05,0.0,0.0,0.0,0.0,-115.66215140657735,-41.846995893520294,-119.71186068659544,-105.59923743804754,-115.64409064913077,-41.83849277034808,-119.71963251582802,-105.58276392476006,0.0,0.0,0.0,0.0,19.040250467984016,19.520331933685846,20.000958385336855,20.480761240600952,-5.016513700790064,-4.999205490393991,-4.992115970810518,-4.999180403429922,0.00022479034093890628,9.313572070996169e-05,5677204.773132158,-2511680.877761772,-2879242.319509338,196.02525546055378,261012.24299248127,-1.0,217.03214617139187,8,0.46631968117326733,0.0,0.0,0.884578277774409,1.599488284163419,0.562614378618887,0.0,0.0,0.0,0.0,0.0,0.0
15000000000,-0.19075840726035898,0.5755076184302671,0.28494480248341,-0.011758960730536862,-0.04194896132665159,0.010555881726974437,0.1312159432444483,0.43222380293916013,0.41297729338717837,-0.012717922156950416,-0.041316654381025726,0.010139991670712726,0.45498429427149506,0.19091713657869216,0.6288788448867757,0.6008754757690958,5698790.98855799,-2492132.3684344348,-2853450.1275291233,4,-0.00015373965108517055,3.327861861560672e-05,0.00016021060169737924,2.2949424493850905e-05,0.0,0.0,0.0,0.0,-147.01671871095985,-34.974761963792616,-88.60273030827463,-101.79496508409115,-146.98550998662486,-34.93783328166379,-88.66310458370221,-101.75449026481373,0.0,0.0,0.0,0.0,19.060096354048294,19.529885323539297,20.001595732784477,20.471321088209816,-5.02259750101992,-4.999418658585482,-4.992897615333144,-4.998832396504379,0.0002170894796776177,-2.437478961070376e-05,5698369.631741239,-2492516.2969656424,-2853956.7396104415,202.52274111321165,262013.6979283714,-1.0,223.53635440983615,8,0.8560663503502444,0.0,0.0,1.179823545204629,1.3226130819241382,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20000000000,-0.1498205336093234,0.5214649139096358,0.31394579082603113,-0.01206096541919331,-0.035005202457936514,0.010145961316243322,0.16457621203833345,0.3714567210123711,0.40738316535714025,-0.012971804317270555,-0.034353963439651,0.009881231293611379,0.5025997207612919,0.247292170252751,0.5581507652680938,0.6121338305084901,5719775.035841738,-2472888.6996363215,-2828073.791574151,4,-0.0001443628697482024,3.806792459667461e-05,0.00016447905051652118,3.359260889503648e-05,0.0,0.0,0.0,0.0,-178.55536370988864,-27.36621725587984,-54.42563835418255,-95.78176039557944,-178.5506909731826,-27.34791199996979,-54.40729578361041,-95.8103543011187,0.0,0.0,0.0,0.0,19.079753501874855,19.53924401742859,20.002058243394018,20.462106678764247,-5.025776090144413,-4.9994794608740545,-4.99552556982417,-4.998390740119934,0.00015115484918446287,-1.240136627285908e-05,5719357.249970184,-2473274.1967383237,-2828582.1478658305,199.04748393783055,263020.87405728456,-1.0,220.06657761427383,8,1.1764704759041256,0.0,0.0,1.3594143307021378,1.0345037105285069,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25000000000,-0.11596597033866524,0.47510109424602065,0.3360975668761389,-0.009405188797045428,-0.03126338465347391,0.008634008953693472,0.19084785749692373,0.3196360125523691,0.4014739351557042,-0.010278745435265751,-0.030618118542170805,0.008561535140768777,0.538732111671592,0.2936637267742405,0.4918341965609944,0.6177608360232405,5740581.183793157,-2453568.1172119756,-2802609.2473465097,4,-0.0001216848721821926,3.180393888813556e-05,0.00016195854088179136,4.161402614332264e-05,0.0,0.0,0.0,0.0,-206.59653251243816,-19.88039101099791,-20.18718716857504,-87.92777876160496,-206.59558743989095,-19.830086015170593,-20.2078982091612,-87.90797439764441,0.0,0.0,0.0,0.0,19.099071426815033,19.548405100688413,20.00227317178047,20.45310248074444,-5.025139557651028,-4.9996846625781135,-4.998363579145878,-4.998170897627605,0.00011285166981356866,-3.5662135430194694e-06,5740166.97448306,-2453955.172242299,-2803119.3375491966,188.80060024913135,263992.2997660374,-1.0,209.82194565102856,8,1.4168329067545704,0.0,0.0,1.4623769995881994,0.7543945019784628,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30000000000,-0.084495177167898,0.4339012423647247,0.35046745671254076,-0.005862033902209389,-0.029346383681020792,0.007821008841486211,0.21508410125210262,0.27526865008165863,0.3928964922928888,-0.006699991463064538,-0.02867996524241181,0.00792538407181258,0.5669048953011597,0.3370163311533699,0.4313197953358929,0.6156314371203818,5761208.780472633,-2434171.2201579614,-2777057.286826057,4,-9.501616159613441e-05,1.9207184346068867e-05,0.00016016953728746305,4.870559204657904e-05,0.0,0.0,0.0,0.0,-229.36080740466107,-14.419419406125026,13.499030933393643,-78.41709787671398,-229.3652769779093,-14.432762038309967,13.521154141602937,-78.45529098997143,0.0,0.0,0.0,0.0,19.117916150593388,19.55736753305676,20.002287480401524,20.444288617162947,-5.021793408221876,-4.999861393639454,-5.002165677002453,-4.998089394301574,9.217871025652271e-05,-3.852660721174441e-06,5760798.156695119,-2434559.8223247044,-2777569.1013883823,173.79043127602284,264899.6948316339,-1.0,194.81231715507107,8,1.59020829497524,0.0,0.0,1.524755036425495,0.47852384691756134,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35000000000,-0.05336681939265854,0.3975472822206242,0.3583649623260281,-0.0023518690253152416,-0.027650277526674514,0.00725417389262461,0.23956089684306117,0.2372865904238114,0.3822595903419862,-0.003143923888470384,-0.026952030098902062,0.007493510811815411,0.5875324804199007,0.38031070477688084,0.37670016946589435,0.6068495156199084,5781657.1796200555,-2414698.609926842,-2751418.704830687,4,-6.846318161646518e-05,7.725463965769244e-06,0.00015698552989830192,5.5568700310067885e-05,0.0,0.0,0.0,0.0,-246.54139222898024,-11.658253987930873,46.75573441475434,-67.55651389848364,-246.52701770562726,-11.641743080645172,46.79547891742141,-67.53142333021498,0.0,0.0,0.0,0.0,19.1362083891395,19.566141205294183,20.002448059220136,20.43565137248534,-5.016878023986546,-4.999955031066666,-5.007346213054697,-4.998123683287726,7.896589191972175e-05,-2.203710394255045e-06,5781250.151668168,-2415088.7476355787,-2751932.234013287,155.548552507807,265723.1511442539,-1.0,176.57086165181414,8,1.7078168624399048,0.0,0.0,1.559316594354675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40000000000,-0.022716875763755605,0.3659596812788671,0.360817034874511,0.0008031924667899421,-0.02588913559212096,0.006220112292903169,0.2644175924171206,0.2051922248349305,0.3700465404388895,6.707262080683955e-05,-0.025164510931603407,0.0065602868838159824,0.6013387776308823,0.4234221442253327,0.3285822664965288,0.5925698747329482,5801925.74056913,-2395150.890386074,-2725694.2989382744,4,-4.3111437357867466e-05,-6.764528340605036e-07,0.00014982233291696434,6.121901405067172e-05,0.0,0.0,0.0,0.0,-258.1996462169111,-10.921943209745764,79.03069019186823,-55.28466759539851,-258.24110316405773,-10.935165165468376,79.0142113567591,-55.27524955089525,0.0,0.0,0.0,0.0,19.1539095253543,19.574735458648124,20.00281231738304,20.42717585374669,-5.011133145142284,-5.0000073971234675,-5.011838093479064,-4.998308051860545,6.827961135745876e-05,-1.915608431464841e-06,5801522.319314318,-2395542.550833841,-2726209.532555337,135.56029969167187,266450.3829052321,-1.0,156.58161935965023,8,1.7784136845032141,0.4239443523503451,0.0,1.572057036541821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45000000000,0.006837596215514869,0.3386213278930186,0.3583251438929738,0.0034843414378978744,-0.024264679192953637,0.004638352505287872,0.28925449711452317,0.17852451812911993,0.35611350132632247,0.002808783560985902,-0.023518693278631254,0.005056932793682935,0.60984452963741,0.4656547698528351,0.28739671891631835,0.5732873720402047,5822013.828224183,-2375528.667738841,-2699884.8694618344,4,-1.9446686633650284e-05,-6.854364824955777e-06,0.00013886387637158097,6.498817726425079e-05,0.0,0.0,0.0,0.0,-264.8264432205771,-11.719613219446298,109.28079132897308,-42.03107358806657,-264.8097041956157,-11.742109928587741,109.32396668400382,-42.0243101278923,0.0,0.0,0.0,0.0,19.17100910136316,19.583159852395884,20.003336237415084,20.418846068418244,-5.005149671335042,-5.000080484705265,-5.015181149794058,-4.998634458342,6.023537280777742e-05,-1.3392510653648856e-06,5821614.02492183,-2375921.8372525307,-2700401.7966296813,114.91524665375152,267075.6568201123,-1.0,135.9343476779877,8,1.8102122484651937,0.6348743614778782,0.3942721353793914,1.5696100223667069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
